"source_candidate_id"	"verdict"	"current_translation_zh_tw"	"suggested_translation_zh_tw"	"reason"
"th5000-cand-20260708-0007"	"PASS"	"等等"	""	""
"th5000-cand-20260708-0014"	"PASS"	"鉤"	""	""
"th5000-cand-20260708-0017"	"PASS"	"工業部"	""	""
"th5000-cand-20260708-0025"	"PASS"	"橢圓形"	""	""
"th5000-cand-20260708-0030"	"PASS"	"譴責"	""	""
"th5000-cand-20260708-0034"	"PASS"	"河"	""	""
"th5000-cand-20260708-0038"	"PASS"	"聚集；蜂擁"	""	""
"th5000-cand-20260708-0043"	"PASS"	"芝麻"	""	""
"th5000-cand-20260708-0048"	"PASS"	"相配"	""	""
"th5000-cand-20260708-0055"	"PASS"	"奴隸"	""	""
"th5000-cand-20260708-0065"	"PASS"	"戒除；忍住"	""	""
"th5000-cand-20260708-0069"	"PASS"	"烤"	""	""
"th5000-cand-20260708-0073"	"PASS"	"瑪拉"	""	""
"th5000-cand-20260708-0080"	"PASS"	"著急"	""	""
"th5000-cand-20260708-0088"	"PASS"	"能"	""	""
"th5000-cand-20260708-0094"	"PASS"	"模具"	""	""
"th5000-cand-20260708-0099"	"PASS"	"結束"	""	""
"th5000-cand-20260708-0103"	"PASS"	"底部；根基"	""	""
"th5000-cand-20260708-0112"	"PASS"	"噪音"	""	""
"th5000-cand-20260708-0120"	"PASS"	"一種由槳驅動的大型貨船"	""	""
"th5000-cand-20260708-0124"	"PASS"	"傳播（例如謠言）"	""	""
"th5000-cand-20260708-0128"	"PASS"	"章"	""	""
"th5000-cand-20260708-0131"	"PASS"	"用在女人名字前面的詞"	""	""
"th5000-cand-20260708-0134"	"PASS"	"極為"	""	""
"th5000-cand-20260708-0137"	"PASS"	"系統"	""	""
"th5000-cand-20260708-0141"	"PASS"	"為了"	""	""
"th5000-cand-20260708-0144"	"PASS"	"漫步"	""	""
"th5000-cand-20260708-0149"	"PASS"	"膨脹起來"	""	""
"th5000-cand-20260708-0154"	"PASS"	"叢"	""	""
"th5000-cand-20260708-0162"	"PASS"	"選擇"	""	""
"th5000-cand-20260708-0166"	"PASS"	"考慮"	""	""
"th5000-cand-20260708-0169"	"PASS"	"千"	""	""
"th5000-cand-20260708-0173"	"PASS"	"拿"	""	""
"th5000-cand-20260708-0179"	"PASS"	"集合"	""	""
"th5000-cand-20260708-0183"	"PASS"	"加襯；填塞"	""	""
"th5000-cand-20260708-0187"	"PASS"	"劈"	""	""
"th5000-cand-20260708-0191"	"PASS"	"改變"	""	""
"th5000-cand-20260708-0194"	"PASS"	"畫（線）"	""	""
"th5000-cand-20260708-0197"	"PASS"	"網站"	""	""
"th5000-cand-20260708-0200"	"PASS"	"導致；引起"	""	""
"th5000-cand-20260708-0207"	"PASS"	"副手；助理"	""	""
"th5000-cand-20260708-0215"	"PASS"	"國防部"	""	""
"th5000-cand-20260708-0218"	"PASS"	"達到"	""	""
"th5000-cand-20260708-0221"	"PASS"	"魚網"	""	""
"th5000-cand-20260708-0224"	"PASS"	"哪個"	""	""
"th5000-cand-20260708-0228"	"PASS"	"胖的"	""	""
"th5000-cand-20260708-0232"	"PASS"	"老的"	""	""
"th5000-cand-20260708-0237"	"PASS"	"分享"	""	""
"th5000-cand-20260708-0240"	"PASS"	"責任"	""	""
"th5000-cand-20260708-0246"	"PASS"	"封面；書套"	""	""
"th5000-cand-20260708-0249"	"PASS"	"授予佛教神學三級僧人稱號"	""	""
"th5000-cand-20260708-0259"	"PASS"	"商品"	""	""
"th5000-cand-20260708-0265"	"PASS"	"部分"	""	""
"th5000-cand-20260708-0269"	"PASS"	"包含"	""	""
"th5000-cand-20260708-0276"	"PASS"	"地下藏身之處"	""	""
"th5000-cand-20260708-0281"	"PASS"	"筏"	""	""
"th5000-cand-20260708-0284"	"PASS"	"賭注"	""	""
"th5000-cand-20260708-0289"	"PASS"	"危險"	""	""
"th5000-cand-20260708-0295"	"PASS"	"年輕的"	""	""
"th5000-cand-20260708-0299"	"PASS"	"學習"
"th5000-cand-20260708-0306"	"PASS"	"集中"	""	""
"th5000-cand-20260708-0311"	"PASS"	"壓碎"	""	""
"th5000-cand-20260708-0314"	"PASS"	"成員"	""	""
"th5000-cand-20260708-0317"	"PASS"	"迷惑"	""	""
"th5000-cand-20260708-0323"	"PASS"	"提取"	""	""
"th5000-cand-20260708-0327"	"PASS"	"要求"	""	""
"th5000-cand-20260708-0330"	"PASS"	"泰國科學技術研究院"	""	""
"th5000-cand-20260708-0334"	"PASS"	"國王"	""	""
"th5000-cand-20260708-0339"	"PASS"	"班級"	""	""
"th5000-cand-20260708-0342"	"PASS"	"城市"	""	""
"th5000-cand-20260708-0345"	"PASS"	"獨自"	""	""
"th5000-cand-20260708-0348"	"PASS"	"住宅"	""	""
"th5000-cand-20260708-0352"	"PASS"	"教義"	""	""
"th5000-cand-20260708-0355"	"PASS"	"鉤住"	""	""
"th5000-cand-20260708-0358"	"PASS"	"免受"	""	""
"th5000-cand-20260708-0361"	"PASS"	"分裂"	""	""
"th5000-cand-20260708-0365"	"PASS"	"產生"	""	""
"th5000-cand-20260708-0368"	"PASS"	"面對"	""	""
"th5000-cand-20260708-0374"	"PASS"	"安全"	""	""
"th5000-cand-20260708-0379"	"PASS"	"時間"	""	""
"th5000-cand-20260708-0382"	"PASS"	"畫（一條線）"	""	""
"th5000-cand-20260708-0386"	"PASS"	"分享"	""	""
"th5000-cand-20260708-0390"	"PASS"	"階段"	""	""
"th5000-cand-20260708-0394"	"PASS"	"雇主"	""	""
"th5000-cand-20260708-0398"	"PASS"	"很重要"	""	""
"th5000-cand-20260708-0402"	"PASS"	"方法"	""	""
"th5000-cand-20260708-0407"	"PASS"	"品牌"	""	""
"th5000-cand-20260708-0411"	"PASS"	"脂肪"	""	""
"th5000-cand-20260708-0416"	"PASS"	"時髦；有型"	""	""
"th5000-cand-20260708-0420"	"PASS"	"獎金"	""	""
"th5000-cand-20260708-0423"	"PASS"	"發展"	""	""
"th5000-cand-20260708-0426"	"PASS"	"香蕉花"	""	""
