"source_candidate_id"	"verdict"	"current_translation_zh_tw"	"suggested_translation_zh_tw"	"reason"
"th5000-cand-20260708-0006"	"PASS"	"看；觀看"	""	""
"th5000-cand-20260708-0013"	"PASS"	"手"	""	""
"th5000-cand-20260708-0016"	"PASS"	"使殘廢；扭曲"	""	""
"th5000-cand-20260708-0019"	"PASS"	"案件"	""	""
"th5000-cand-20260708-0029"	"PASS"	"發光"	""	""
"th5000-cand-20260708-0032"	"PASS"	"角；獸角"	""	""
"th5000-cand-20260708-0036"	"PASS"	"倒"	""	""
"th5000-cand-20260708-0040"	"PASS"	"光"	""	""
"th5000-cand-20260708-0046"	"PASS"	"悶"	""	""
"th5000-cand-20260708-0054"	"PASS"	"白茅（Imperata cylindrica）"	""	""
"th5000-cand-20260708-0061"	"PASS"	"燻；燻蒸"	""	""
"th5000-cand-20260708-0068"	"PASS"	"樹樁"	""	""
"th5000-cand-20260708-0071"	"PASS"	"白內障"	""	""
"th5000-cand-20260708-0079"	"PASS"	"總理辦公室"	""	""
"th5000-cand-20260708-0087"	"PASS"	"回頭"	""	""
"th5000-cand-20260708-0090"	"PASS"	"內政部"	""	""
"th5000-cand-20260708-0098"	"PASS"	"胎盤"	""	""
"th5000-cand-20260708-0102"	"PASS"	"摸索"	""	""
"th5000-cand-20260708-0110"	"PASS"	"自由"	""	""
"th5000-cand-20260708-0119"	"PASS"	"圖片"	""	""
"th5000-cand-20260708-0122"	"PASS"	"財政部"	""	""
"th5000-cand-20260708-0126"	"PASS"	"海巴戟天"	""	""
"th5000-cand-20260708-0130"	"PASS"	"發誓；祈求"	""	""
"th5000-cand-20260708-0133"	"PASS"	"玳瑁龜"	""	""
"th5000-cand-20260708-0136"	"PASS"	"軍隊"	""	""
"th5000-cand-20260708-0139"	"PASS"	"生悶氣"	""	""
"th5000-cand-20260708-0143"	"PASS"	"盒子"	""	""
"th5000-cand-20260708-0146"	"PASS"	"佛教女尼"	""	""
"th5000-cand-20260708-0152"	"PASS"	"圖案"	""	""
"th5000-cand-20260708-0160"	"PASS"	"碼頭"	""	""
"th5000-cand-20260708-0164"	"PASS"	"相當於八英寸的長度單位"	""	""
"th5000-cand-20260708-0168"	"PASS"	"竹製捕魚籠"	""	""
"th5000-cand-20260708-0171"	"PASS"	"預算"	""	""
"th5000-cand-20260708-0177"	"PASS"	"西瓜"	""	""
"th5000-cand-20260708-0182"	"PASS"	"部分"	""	""
"th5000-cand-20260708-0186"	"PASS"	"豐富的"	""	""
"th5000-cand-20260708-0189"	"PASS"	"（刀具的）刃口"	""	""
"th5000-cand-20260708-0193"	"PASS"	"測量"	""	""
"th5000-cand-20260708-0196"	"PASS"	"腹部腫脹（尤指兒童因寄生蟲等造成的狀況）"	""	""
"th5000-cand-20260708-0199"	"PASS"	"伸展"	""	""
"th5000-cand-20260708-0205"	"PASS"	"蒼白"	""	""
"th5000-cand-20260708-0214"	"PASS"	"交界處"	""	""
"th5000-cand-20260708-0217"	"PASS"	"馱鞍"	""	""
"th5000-cand-20260708-0220"	"PASS"	"資料"	""	""
"th5000-cand-20260708-0223"	"PASS"	"更多"	""	""
"th5000-cand-20260708-0227"	"PASS"	"工具"	""	""
"th5000-cand-20260708-0231"	"PASS"	"十"	""	""
"th5000-cand-20260708-0234"	"PASS"	"關掉"	""	""
"th5000-cand-20260708-0239"	"PASS"	"停止"	""	""
"th5000-cand-20260708-0242"	"PASS"	"螢幕"	""	""
"th5000-cand-20260708-0248"	"PASS"	"看看"	""	""
"th5000-cand-20260708-0257"	"PASS"	"參議院秘書處"	""	""
"th5000-cand-20260708-0262"	"PASS"	"年"	""	""
"th5000-cand-20260708-0268"	"PASS"	"隔板；隔間"	""	""
"th5000-cand-20260708-0273"	"PASS"	"生火；點火"	""	""
"th5000-cand-20260708-0280"	"PASS"	"寄放；託付"	""	""
"th5000-cand-20260708-0283"	"PASS"	"戰役"	""	""
"th5000-cand-20260708-0288"	"PASS"	"可用"	""	""
"th5000-cand-20260708-0291"	"PASS"	"叢林"	""	""
"th5000-cand-20260708-0297"	"PASS"	"加入"	""	""
"th5000-cand-20260708-0302"	"PASS"	"臭的"	""	""
"th5000-cand-20260708-0310"	"PASS"	"素食"	""	""
"th5000-cand-20260708-0313"	"PASS"	"尖峰"	""	""
"th5000-cand-20260708-0316"	"PASS"	"權限"	""	""
"th5000-cand-20260708-0322"	"PASS"	"可以"	""	""
"th5000-cand-20260708-0325"	"PASS"	"絲帶"	""	""
"th5000-cand-20260708-0329"	"PASS"	"愉快地"	""	""
"th5000-cand-20260708-0332"	"PASS"	"瘀青"	""	""
"th5000-cand-20260708-0337"	"PASS"	"如果"	""	""
"th5000-cand-20260708-0341"	"PASS"	"像；例如"	""	""
"th5000-cand-20260708-0344"	"PASS"	"編織"	""	""
"th5000-cand-20260708-0347"	"PASS"	"地板"	""	""
"th5000-cand-20260708-0350"	"PASS"	"趕上"	""	""
"th5000-cand-20260708-0354"	"PASS"	"東西"	""	""
"th5000-cand-20260708-0357"	"PASS"	"腳"	""	""
"th5000-cand-20260708-0360"	"PASS"	"發芽；萌芽"	""	""
"th5000-cand-20260708-0363"	"PASS"	"居住在泰國北部的孟高棉族山地部落"	""	""
"th5000-cand-20260708-0367"	"PASS"	"世界"	""	""
"th5000-cand-20260708-0372"	"PASS"	"模具"	""	""
"th5000-cand-20260708-0377"	"PASS"	"添加"	""	""
"th5000-cand-20260708-0381"	"PASS"	"搖籃"	""	""
"th5000-cand-20260708-0385"	"PASS"	"月亮"	""	""
"th5000-cand-20260708-0389"	"PASS"	"夠了"	""	""
"th5000-cand-20260708-0393"	"PASS"	"應該"	""	""
"th5000-cand-20260708-0397"	"PASS"	"種類"	""	""
"th5000-cand-20260708-0400"	"PASS"	"細小的"	""	""
"th5000-cand-20260708-0405"	"PASS"	"較差；不如"	""	""
"th5000-cand-20260708-0410"	"PASS"	"分數"	""	""
"th5000-cand-20260708-0414"	"PASS"	"提供服務"	""	""
"th5000-cand-20260708-0419"	"PASS"	"保留"	""	""
"th5000-cand-20260708-0422"	"PASS"	"中士"	""	""
"th5000-cand-20260708-0425"	"PASS"	"堤防"	""	""
"th5000-cand-20260708-0428"	"PASS"	"總共"	""	""
"th5000-cand-20260708-0431"	"PASS"	"然後"	""	""
"th5000-cand-20260708-0434"	"PASS"	"特別的"	""	""
"th5000-cand-20260708-0437"	"PASS"	"信用"	""	""
"th5000-cand-20260708-0440"	"PASS"	"新聞"	""	""
"th5000-cand-20260708-0444"	"PASS"	"折斷"	""	""
"th5000-cand-20260708-0449"	"PASS"	"變化"	""	""
"th5000-cand-20260708-0453"	"PASS"	"地方"	""	""
"th5000-cand-20260708-0457"	"PASS"	"添加"	""	""
"th5000-cand-20260708-0460"	"PASS"	"連接"	""	""
"th5000-cand-20260708-0466"	"PASS"	"雞年"	""	""
"th5000-cand-20260708-0469"	"PASS"	"幸福"	""	""
"th5000-cand-20260708-0475"	"PASS"	"很多"	""	""
"th5000-cand-20260708-0483"	"PASS"	"時間"	""	""
"th5000-cand-20260708-0488"	"PASS"	"方便"	""	""
"th5000-cand-20260708-0491"	"PASS"	"顧客"	""	""
"th5000-cand-20260708-0497"	"PASS"	"跳過"	""	""
"th5000-cand-20260708-0504"	"PASS"	"原因"	""	""
"th5000-cand-20260708-0508"	"PASS"	"可能"	""	""
"th5000-cand-20260708-0511"	"PASS"	"限制"	""	""
"th5000-cand-20260708-0517"	"PASS"	"說謊"	""	""
"th5000-cand-20260708-0521"	"PASS"	"山"	""	""
"th5000-cand-20260708-0524"	"PASS"	"科學"	""	""
"th5000-cand-20260708-0528"	"PASS"	"面積"	""	""
"th5000-cand-20260708-0533"	"PASS"	"一"	""	""
"th5000-cand-20260708-0536"	"PASS"	"涉及；關於"	""	""
"th5000-cand-20260708-0539"	"PASS"	"期刊"	""	""
"th5000-cand-20260708-0542"	"PASS"	"宗教儀式"	""	""
"th5000-cand-20260708-0545"	"PASS"	"修補"	""	""
"th5000-cand-20260708-0548"	"PASS"	"會"	""	""
"th5000-cand-20260708-0553"	"PASS"	"銘刻"	""	""
"th5000-cand-20260708-0556"	"PASS"	"直接進去"	""	""
"th5000-cand-20260708-0559"	"PASS"	"府（泰國行政區）"	""	""
"th5000-cand-20260708-0566"	"PASS"	"騾子"	""	""
"th5000-cand-20260708-0569"	"PASS"	"交通運輸部"	""	""
"th5000-cand-20260708-0572"	"PASS"	"城市"	""	""
"th5000-cand-20260708-0576"	"PASS"	"格式"	""	""
"th5000-cand-20260708-0580"	"PASS"	"部門；類別"	""	""
"th5000-cand-20260708-0585"	"PASS"	"可用性"	""	""
"th5000-cand-20260708-0589"	"PASS"	"快速；很快"	""	""
"th5000-cand-20260708-0593"	"PASS"	"一組"	""	""
"th5000-cand-20260708-0597"	"PASS"	"達到"	""	""
"th5000-cand-20260708-0601"	"PASS"	"內部"	""	""
"th5000-cand-20260708-0604"	"PASS"	"裝飾"	""	""
"th5000-cand-20260708-0607"	"PASS"	"測試"	""	""
"th5000-cand-20260708-0611"	"PASS"	"工具"	""	""
"th5000-cand-20260708-0615"	"PASS"	"包括"	""	""
"th5000-cand-20260708-0619"	"PASS"	"政府機關"	""	""
"th5000-cand-20260708-0623"	"PASS"	"教育"	""	""
"th5000-cand-20260708-0630"	"PASS"	"效率"	""	""
"th5000-cand-20260708-0634"	"PASS"	"安全"	""	""
"th5000-cand-20260708-0640"	"PASS"	"監獄"	""	""
"th5000-cand-20260708-0644"	"PASS"	"量詞，用於國王、王子、公主、僧侶、佛像、神祇、宮殿及佛塔"	""	""
"th5000-cand-20260708-0647"	"PASS"	"登記簿；名冊"	""	""
"th5000-cand-20260708-0651"	"PASS"	"小"	""	""
"th5000-cand-20260708-0657"	"PASS"	"為了"	""	""
"th5000-cand-20260708-0660"	"PASS"	"泰國北部寮國王子的住所"	""	""
"th5000-cand-20260708-0665"	"PASS"	"留下來"	""	""
"th5000-cand-20260708-0670"	"PASS"	"保存；保護"	""	""
"th5000-cand-20260708-0673"	"PASS"	"人"	""	""
"th5000-cand-20260708-0677"	"PASS"	"手機；行動電話"	""	""
"th5000-cand-20260708-0684"	"PASS"	"景色；視野"	""	""
"th5000-cand-20260708-0687"	"PASS"	"管"	""	""
"th5000-cand-20260708-0690"	"PASS"	"區域"	""	""
"th5000-cand-20260708-0693"	"PASS"	"最高"	""	""
"th5000-cand-20260708-0699"	"PASS"	"增加"	""	""
"th5000-cand-20260708-0703"	"PASS"	"旅行"	""	""
"th5000-cand-20260708-0706"	"PASS"	"一塊（的）"	""	""
"th5000-cand-20260708-0710"	"PASS"	"代碼；編碼"	""	""
"th5000-cand-20260708-0714"	"PASS"	"知識"	""	""
"th5000-cand-20260708-0717"	"PASS"	"科目"	""	""
"th5000-cand-20260708-0721"	"PASS"	"如何"	""	""
"th5000-cand-20260708-0725"	"PASS"	"等級"	""	""
"th5000-cand-20260708-0729"	"PASS"	"槍口"	""	""
"th5000-cand-20260708-0733"	"PASS"	"網路介面卡"	""	""
"th5000-cand-20260708-0736"	"PASS"	"嫁接"	""	""
"th5000-cand-20260708-0740"	"PASS"	"有信心"	""	""
"th5000-cand-20260708-0744"	"PASS"	"欣賞"	""	""
"th5000-cand-20260708-0747"	"PASS"	"登入"	""	""
"th5000-cand-20260708-0750"	"PASS"	"軍種"	""	""
"th5000-cand-20260708-0755"	"PASS"	"感到羞恥"	""	""
"th5000-cand-20260708-0759"	"PASS"	"安裝"	""	""
"th5000-cand-20260708-0763"	"PASS"	"分發；發放"	""	""
"th5000-cand-20260708-0766"	"PASS"	"地塊；小塊土地"	""	""
"th5000-cand-20260708-0769"	"PASS"	"檢查"	""	""
"th5000-cand-20260708-0774"	"PASS"	"力量；能量"	""	""
"th5000-cand-20260708-0777"	"PASS"	"樹幹"	""	""
"th5000-cand-20260708-0780"	"PASS"	"圓盤；圓片"	""	""
"th5000-cand-20260708-0784"	"PASS"	"當然"	""	""
"th5000-cand-20260708-0787"	"PASS"	"權利"	""	""
"th5000-cand-20260708-0790"	"PASS"	"美麗；很美"	""	""
"th5000-cand-20260708-0793"	"PASS"	"超過"	""	""
"th5000-cand-20260708-0797"	"PASS"	"得體"	""	""
"th5000-cand-20260708-0800"	"PASS"	"吸收"	""	""
"th5000-cand-20260708-0806"	"PASS"	"關聯"	""	""
"th5000-cand-20260708-0809"	"PASS"	"沉沒；下沉"	""	""
"th5000-cand-20260708-0812"	"PASS"	"直立"	""	""
"th5000-cand-20260708-0815"	"PASS"	"遠"	""	""
"th5000-cand-20260708-0818"	"PASS"	"媒介"	""	""
"th5000-cand-20260708-0821"	"PASS"	"中等"	""	""
"th5000-cand-20260708-0826"	"PASS"	"搜尋"	""	""
"th5000-cand-20260708-0829"	"PASS"	"包括"	""	""
"th5000-cand-20260708-0833"	"PASS"	"轉移"	""	""
"th5000-cand-20260708-0839"	"PASS"	"當……時；在……期間"	""	""
"th5000-cand-20260708-0843"	"PASS"	"頭腦"	""	""
"th5000-cand-20260708-0846"	"PASS"	"夫人"	""	""
"th5000-cand-20260708-0850"	"PASS"	"起源"	""	""
"th5000-cand-20260708-0855"	"PASS"	"韻"	""	""
"th5000-cand-20260708-0858"	"PASS"	"健康"	""	""
"th5000-cand-20260708-0862"	"PASS"	"讓步"	""	""
"th5000-cand-20260708-0865"	"PASS"	"清楚；明確"	""	""
"th5000-cand-20260708-0868"	"PASS"	"蓋子"	""	""
"th5000-cand-20260708-0871"	"PASS"	"桃子"	""	""
"th5000-cand-20260708-0876"	"PASS"	"分支；分店"	""	""
"th5000-cand-20260708-0879"	"PASS"	"步驟"	""	""
"th5000-cand-20260708-0883"	"PASS"	"水"	""	""
"th5000-cand-20260708-0887"	"PASS"	"榮譽"	""	""
"th5000-cand-20260708-0892"	"PASS"	"洩漏秘密"	""	""
"th5000-cand-20260708-0895"	"PASS"	"註冊"	""	""
"th5000-cand-20260708-0901"	"PASS"	"壺"	""	""
"th5000-cand-20260708-0904"	"PASS"	"堅持"	""	""
"th5000-cand-20260708-0908"	"PASS"	"穿孔"	""	""
"th5000-cand-20260708-0911"	"PASS"	"烹調；調製"	""	""
"th5000-cand-20260708-0915"	"PASS"	"灌木叢"	""	""
"th5000-cand-20260708-0920"	"PASS"	"循環"	""	""
"th5000-cand-20260708-0924"	"PASS"	"拳擊；揮拳"	""	""
"th5000-cand-20260708-0927"	"PASS"	"辦公室"	""	""
"th5000-cand-20260708-0930"	"PASS"	"發展"	""	""
"th5000-cand-20260708-0933"	"PASS"	"相等"	""	""
"th5000-cand-20260708-0936"	"PASS"	"控制"	""	""
"th5000-cand-20260708-0939"	"PASS"	"修補"	""	""
"th5000-cand-20260708-0945"	"PASS"	"米"	""	""
"th5000-cand-20260708-0948"	"PASS"	"興奮"	""	""
"th5000-cand-20260708-0951"	"PASS"	"裁判員"	""	""
"th5000-cand-20260708-0955"	"PASS"	"想法；思想"	""	""
"th5000-cand-20260708-0958"	"PASS"	"青睞"	""	""
"th5000-cand-20260708-0962"	"PASS"	"代理人"	""	""
"th5000-cand-20260708-0965"	"PASS"	"獲得"	""	""
"th5000-cand-20260708-0969"	"PASS"	"之後"	""	""
"th5000-cand-20260708-0974"	"PASS"	"種類"	""	""
"th5000-cand-20260708-0978"	"PASS"	"工作團隊"	""	""
"th5000-cand-20260708-0982"	"PASS"	"遊覽"	""	""
"th5000-cand-20260708-0987"	"PASS"	"使成圓形"	""	""
"th5000-cand-20260708-0991"	"PASS"	"來源"	""	""
"th5000-cand-20260708-0995"	"PASS"	"給予"	""	""
"th5000-cand-20260708-1000"	"PASS"	"（褲子的）胯部"	""	""
"th5000-cand-20260708-1003"	"PASS"	"非常受歡迎"	""	""
"th5000-cand-20260708-1006"	"PASS"	"工業"	""	""
"th5000-cand-20260708-1009"	"PASS"	"風格"	""	""
"th5000-cand-20260708-1014"	"PASS"	"擺脫"	""	""
"th5000-cand-20260708-1017"	"PASS"	"逗樂"	""	""
"th5000-cand-20260708-1020"	"PASS"	"不同"	""	""
"th5000-cand-20260708-1025"	"PASS"	"財產"	""	""
"th5000-cand-20260708-1029"	"PASS"	"選項"	""	""
"th5000-cand-20260708-1032"	"PASS"	"第三"	""	""
"th5000-cand-20260708-1035"	"PASS"	"隨機存取記憶體"	""	""
"th5000-cand-20260708-1039"	"PASS"	"傳送"	""	""
"th5000-cand-20260708-1042"	"PASS"	"手掌；腳底"	""	""
"th5000-cand-20260708-1045"	"PASS"	"情況；案件"	""	""
"th5000-cand-20260708-1050"	"PASS"	"腳"	""	""
"th5000-cand-20260708-1053"	"PASS"	"繼續"	""	""
"th5000-cand-20260708-1057"	"PASS"	"發生"	""	""
"th5000-cand-20260708-1061"	"PASS"	"建築物"	""	""
"th5000-cand-20260708-1065"	"PASS"	"好吧"	""	""
"th5000-cand-20260708-1068"	"PASS"	"醫生"	""	""
"th5000-cand-20260708-1072"	"PASS"	"溪流；小河"	""	""
"th5000-cand-20260708-1076"	"PASS"	"電腦"	""	""
"th5000-cand-20260708-1079"	"PASS"	"快樂"	""	""
"th5000-cand-20260708-1082"	"PASS"	"做廣告"	""	""
"th5000-cand-20260708-1085"	"PASS"	"混合"	""	""
"th5000-cand-20260708-1088"	"PASS"	"隱私"	""	""
"th5000-cand-20260708-1091"	"PASS"	"辨識；確認身分"	""	""
"th5000-cand-20260708-1096"	"PASS"	"無論如何"	""	""
"th5000-cand-20260708-1100"	"PASS"	"場地；空地"	""	""
"th5000-cand-20260708-1103"	"PASS"	"管理"	""	""
"th5000-cand-20260708-1107"	"PASS"	"旅遊行程；旅行團"	""	""
"th5000-cand-20260708-1110"	"PASS"	"問"	""	""
"th5000-cand-20260708-1114"	"PASS"	"絲綢"	""	""
"th5000-cand-20260708-1117"	"PASS"	"白蘭花"	""	""
"th5000-cand-20260708-1120"	"PASS"	"大學事務部"	""	""
"th5000-cand-20260708-1123"	"PASS"	"深"	""	""
"th5000-cand-20260708-1126"	"PASS"	"賺錢"	""	""
"th5000-cand-20260708-1130"	"PASS"	"時態"	""	""
"th5000-cand-20260708-1134"	"PASS"	"公平；公正"	""	""
"th5000-cand-20260708-1137"	"PASS"	"也許"	""	""
"th5000-cand-20260708-1140"	"PASS"	"一份；版本"	""	""
"th5000-cand-20260708-1145"	"PASS"	"圍攻"	""	""
"th5000-cand-20260708-1148"	"PASS"	"板子；董事會"	""	""
"th5000-cand-20260708-1152"	"PASS"	"有效率"	""	""
