source_candidate_id	normalized_lemma	pos	yaitron_entry_id	translation_en	similar_translations_en	headword_entry_count	headword_pos_values	translation_zh_tw_candidate	candidate_status
th5000-cand-20260708-0007	ละ	v	37339	etc.	and so on; et cetera; and so forth; and all the rest	6	det;end;v	等等	authored_needs_review
th5000-cand-20260708-0014	ขอ	n	32342	hook	gaff; elephant goad	2	n;v	鉤	authored_needs_review
th5000-cand-20260708-0017	อก	n	1689	Ministry of Industry		3	n	工業部	authored_needs_review
th5000-cand-20260708-0025	รี	adj	5896	oval	tapering	1	adj	橢圓形	authored_needs_review
th5000-cand-20260708-0030	ติ	v	22426	condemn	blame; censure; reproach; reprimand; rebuke; criticize; find fault with; protest; scold; express disapproval; warn; caution; comment	1	v	譴責	authored_needs_review
th5000-cand-20260708-0034	นที	n	34892	river	stream; flow; course; current; tributary; branch; estuary; rivulet	1	n	河	authored_needs_review
th5000-cand-20260708-0038	ออ	v	8024	crowd	collect; gather around; throng	1	v	聚集；蜂擁	authored_needs_review
th5000-cand-20260708-0043	งา	n	12813	sesame	benne; benny; bene; Sesamum indicum	2	n	芝麻	authored_needs_review
th5000-cand-20260708-0048	สม	v	7293	be well matched	be suitable for each other	1	v	相配	authored_needs_review
th5000-cand-20260708-0055	ข้า	n	10541	slave	servant	2	n;pron	奴隸	authored_needs_review
th5000-cand-20260708-0065	อด	v	7959	abstain	avoid; refrain	3	v	戒除；忍住	authored_needs_review
th5000-cand-20260708-0069	ย่าง	v	22087	roast	barbecue; bake; grill	7	adj;v	烤	authored_needs_review
th5000-cand-20260708-0073	มาร	n	16046	Mara	Satan	4	n	瑪拉	authored_needs_review
th5000-cand-20260708-0080	ลน	v	5988	be in a hurry	be flurried; be flustered; hasten; be panicky	2	v	著急	authored_needs_review
th5000-cand-20260708-0088	สามารถ	v	3283	can	be able to	2	aux;v	能	authored_needs_review
th5000-cand-20260708-0094	แบบ	n	35270	mould	mold	2	n	模具	authored_needs_review
th5000-cand-20260708-0099	สุด	v	6485	end	come to an end; finish; terminate	3	adj;adv;v	結束	authored_needs_review
th5000-cand-20260708-0103	กก	n	29317	base	foot; bottom	5	n;v	底部；根基	authored_needs_review
th5000-cand-20260708-0112	รณ	n	26335	noise	voice; sound	5	n;v	噪音	authored_needs_review
th5000-cand-20260708-0120	มอ	n	8137	kind of large cargo boat propelled by oars	kind of double-oared boat	5	adj;int;n	一種由槳驅動的大型貨船	authored_needs_review
th5000-cand-20260708-0124	ลือ	v	39435	spread (e.g. rumour)	circulate; broadcast; make known; disseminate; propagate; spread widely	1	v	傳播（例如謠言）	authored_needs_review
th5000-cand-20260708-0128	บท	n	25453	chapter	lesson; part; episode	2	clas;n	章	authored_needs_review
th5000-cand-20260708-0131	อี	n	4778	word used on front of a woman's name		1	n	用在女人名字前面的詞	authored_needs_review
th5000-cand-20260708-0134	นัก	adv	35056	extremely	very; greatly; much; excessively; intensely; utterly	1	adv	極為	authored_needs_review
th5000-cand-20260708-0137	ระบบ	n	9308	system	method; procedure	1	n	系統	authored_needs_review
th5000-cand-20260708-0141	สำหรับ	adp	3320	for		4	prep	為了	authored_needs_review
th5000-cand-20260708-0144	จร	v	32956	wander	roam; ramble; rove	2	adj;v	漫步	authored_needs_review
th5000-cand-20260708-0149	โน	v	8538	swell out	bulge; protrude	1	v	膨脹起來	authored_needs_review
th5000-cand-20260708-0154	กอ	n	31370	clump	tussock; grove	2	clas;n	叢	authored_needs_review
th5000-cand-20260708-0162	เลือก	v	12112	choose	select; pick; assort; elect	1	v	選擇	authored_needs_review
th5000-cand-20260708-0166	จัด	v	33058	consider	regard; count	4	adj;adv;v	考慮	authored_needs_review
th5000-cand-20260708-0169	พัน	n	14553	thousand		3	n;v	千	authored_needs_review
th5000-cand-20260708-0173	นำ	v	25224	take	pick	3	v	拿	authored_needs_review
th5000-cand-20260708-0179	รวม	v	35569	assemble	include; join; conjoin; gather; collect	2	v	集合	authored_needs_review
th5000-cand-20260708-0183	บุ	v	5037	line	pad	2	v	加襯；填塞	authored_needs_review
th5000-cand-20260708-0187	ผ่า	v	16913	chop		1	v	劈	authored_needs_review
th5000-cand-20260708-0191	ผ่าน	v	16936	change		6	v	改變	authored_needs_review
