source_candidate_id	normalized_lemma	pos	yaitron_entry_id	translation_en	similar_translations_en	headword_entry_count	headword_pos_values	translation_zh_tw_candidate	candidate_status
th5000-cand-20260708-0006	แล	v	18039	see	look; glance; take a look ; watch	3	adv;conj;v	看；觀看	authored_needs_review
th5000-cand-20260708-0013	กร	n	29415	hand	arm	1	n	手	authored_needs_review
th5000-cand-20260708-0016	เก	v	9675	cripple	disable; twist; distort	2	adj;v	使殘廢；扭曲	authored_needs_review
th5000-cand-20260708-0019	ความ	n	32637	case	lawsuit	2	n	案件	authored_needs_review
th5000-cand-20260708-0029	คุ	v	12272	glow	burn; smoulder; smoke; flame	2	v	發光	authored_needs_review
th5000-cand-20260708-0032	นอ	n	34979	horn		1	n	角；獸角	authored_needs_review
th5000-cand-20260708-0036	เท	v	4258	pour	fill	3	adj;v	倒	authored_needs_review
th5000-cand-20260708-0040	ภา	n	15503	light	ray	1	n	光	authored_needs_review
th5000-cand-20260708-0046	อบ	v	6715	be stuffy	be sultry; be sweltering; be stifling	3	v	悶	authored_needs_review
th5000-cand-20260708-0054	คา	n	11163	Imperata cylindrica Beauv.		2	n;v	白茅（Imperata cylindrica）	authored_needs_review
th5000-cand-20260708-0061	รม	v	4270	smoke	expose to vapour; expose to vapor; fumigate	1	v	燻；燻蒸	authored_needs_review
th5000-cand-20260708-0068	ตอ	n	22500	stump	stub; stubble; butt; end	2	n	樹樁	authored_needs_review
th5000-cand-20260708-0071	ต้อ	n	22594	cataract in the eye		1	n	白內障	authored_needs_review
th5000-cand-20260708-0079	นร	n	1460	Office of the Prime Minister		1	n	總理辦公室	authored_needs_review
th5000-cand-20260708-0087	วก	v	7099	turn  back		1	v	回頭	authored_needs_review
th5000-cand-20260708-0090	มท	n	1560	Ministry of Interior		1	n	內政部	authored_needs_review
th5000-cand-20260708-0098	รก	n	26321	placenta	afterbirth	3	adj;n	胎盤	authored_needs_review
th5000-cand-20260708-0102	งม	v	12763	grope	search; seek; look for; fumble	1	v	摸索	authored_needs_review
th5000-cand-20260708-0110	ไท	n	34690	free	independent	1	n	自由	authored_needs_review
th5000-cand-20260708-0119	ภาพ	n	5502	picture	drawing; sketch; painting; image; vision	1	n	圖片	authored_needs_review
th5000-cand-20260708-0122	กค	n	1361	Ministry of Finance		1	n	財政部	authored_needs_review
th5000-cand-20260708-0126	ยอ	n	5667	Morinda citrifolia Linn.		3	n;v	海巴戟天	authored_needs_review
th5000-cand-20260708-0130	บน	v	25462	vow	take an oath; pray	2	prep;v	發誓；祈求	authored_needs_review
th5000-cand-20260708-0133	กระ	n	29571	hawksbill turtle	hawk turtle; sea turtle; Eretmochelys Imbricata	2	n	玳瑁龜	authored_needs_review
th5000-cand-20260708-0136	พล	n	14280	forces	troops; army	1	n	軍隊	authored_needs_review
th5000-cand-20260708-0139	งอ	v	12777	be sulky	be moody; be sullen; be surly	2	v	生悶氣	authored_needs_review
th5000-cand-20260708-0143	ลัง	n	11955	box	case; casket	3	clas;n	盒子	authored_needs_review
th5000-cand-20260708-0146	ชี	n	28459	nun		2	n	佛教女尼	authored_needs_review
th5000-cand-20260708-0152	ลาย	n	7034	design	pattern	5	adj;n	圖案	authored_needs_review
th5000-cand-20260708-0160	ท่า	n	24726	wharf	landing place; dock; quay; pier; port; harbour; ferry	2	n	碼頭	authored_needs_review
th5000-cand-20260708-0164	กำ	n	30302	linear measure equal to eight inches		4	clas;n;v	相當於八英寸的長度單位	authored_needs_review
th5000-cand-20260708-0168	ไซ	n	29087	bamboo fish trap		1	n	竹製捕魚籠	authored_needs_review
th5000-cand-20260708-0171	งบ	n	12760	budget	a sum of money	1	n	預算	authored_needs_review
th5000-cand-20260708-0177	โม	n	35514	watermelon		1	n	西瓜	authored_needs_review
th5000-cand-20260708-0182	ส่วน	n	3143	part	fragment	6	conj;n	部分	authored_needs_review
th5000-cand-20260708-0186	ดก	adj	29158	plentiful	fruitful; plentiful	3	adj;adv	豐富的	authored_needs_review
th5000-cand-20260708-0189	คม	n	31081	sharp edge (of a knife)	cutting edge	6	adj;n;v	（刀具的）刃口	authored_needs_review
th5000-cand-20260708-0193	มาย	v	16299	measure	count; calculate	2	v	測量	authored_needs_review
